instancia,target,seed,tempo_para_target_ms
instances/scqbf/n400p2.txt,6248.32,2042,9626
instances/scqbf/n400p2.txt,6248.32,2043,33714
instances/scqbf/n400p2.txt,6248.32,2044,6058
instances/scqbf/n400p2.txt,6248.32,2045,10318
instances/scqbf/n400p2.txt,6248.32,2046,8237
instances/scqbf/n400p2.txt,6248.32,2047,10689
instances/scqbf/n400p2.txt,6248.32,2048,37882
instances/scqbf/n400p2.txt,6248.32,2049,22538
instances/scqbf/n400p2.txt,6248.32,2050,13630
instances/scqbf/n400p2.txt,6248.32,2051,24644
instances/scqbf/n400p2.txt,6248.32,2052,5525
instances/scqbf/n400p2.txt,6248.32,2053,14995
instances/scqbf/n400p2.txt,6248.32,2054,46316
instances/scqbf/n400p2.txt,6248.32,2055,5578
instances/scqbf/n400p2.txt,6248.32,2056,12682
instances/scqbf/n400p2.txt,6248.32,2057,8394
instances/scqbf/n400p2.txt,6248.32,2058,22416
instances/scqbf/n400p2.txt,6248.32,2059,9843
instances/scqbf/n400p2.txt,6248.32,2060,12952
instances/scqbf/n400p2.txt,6248.32,2061,8988
instances/scqbf/n400p2.txt,6248.32,2062,8495
instances/scqbf/n400p2.txt,6248.32,2063,5828
instances/scqbf/n400p2.txt,6248.32,2064,32534
instances/scqbf/n400p2.txt,6248.32,2065,6331
instances/scqbf/n400p2.txt,6248.32,2066,14088
instances/scqbf/n400p2.txt,6248.32,2067,18135
instances/scqbf/n400p2.txt,6248.32,2068,13665
instances/scqbf/n400p2.txt,6248.32,2069,26350
instances/scqbf/n400p2.txt,6248.32,2070,25179
instances/scqbf/n400p2.txt,6248.32,2071,8590
instances/scqbf/n400p2.txt,6248.32,2072,27439
instances/scqbf/n400p2.txt,6248.32,2073,28889
instances/scqbf/n400p2.txt,6248.32,2074,46142
instances/scqbf/n400p2.txt,6248.32,2075,5262
instances/scqbf/n400p2.txt,6248.32,2076,42086
instances/scqbf/n400p2.txt,6248.32,2077,11206
instances/scqbf/n400p2.txt,6248.32,2078,33600
instances/scqbf/n400p2.txt,6248.32,2079,20723
instances/scqbf/n400p2.txt,6248.32,2080,47370
instances/scqbf/n400p2.txt,6248.32,2081,6656
instances/scqbf/n400p2.txt,6248.32,2082,21051
instances/scqbf/n400p2.txt,6248.32,2083,20425
instances/scqbf/n400p2.txt,6248.32,2084,11646
instances/scqbf/n400p2.txt,6248.32,2085,26336
instances/scqbf/n400p2.txt,6248.32,2086,18394
instances/scqbf/n400p2.txt,6248.32,2087,9630
instances/scqbf/n400p2.txt,6248.32,2088,14418
instances/scqbf/n400p2.txt,6248.32,2089,22889
instances/scqbf/n400p2.txt,6248.32,2090,6230
instances/scqbf/n400p2.txt,6248.32,2091,16207
instances/scqbf/n400p2.txt,6248.32,2092,11242
instances/scqbf/n400p2.txt,6248.32,2093,22075
instances/scqbf/n400p2.txt,6248.32,2094,15253
instances/scqbf/n400p2.txt,6248.32,2095,39870
instances/scqbf/n400p2.txt,6248.32,2096,40457
instances/scqbf/n400p2.txt,6248.32,2097,17012
instances/scqbf/n400p2.txt,6248.32,2098,11534
instances/scqbf/n400p2.txt,6248.32,2099,32069
instances/scqbf/n400p2.txt,6248.32,2100,56793
instances/scqbf/n400p2.txt,6248.32,2101,14426
instances/scqbf/n400p2.txt,6248.32,2102,15877
instances/scqbf/n400p2.txt,6248.32,2103,20939
instances/scqbf/n400p2.txt,6248.32,2104,8027
instances/scqbf/n400p2.txt,6248.32,2105,9533
instances/scqbf/n400p2.txt,6248.32,2106,9801
instances/scqbf/n400p2.txt,6248.32,2107,27911
instances/scqbf/n400p2.txt,6248.32,2108,10562
instances/scqbf/n400p2.txt,6248.32,2109,37535
instances/scqbf/n400p2.txt,6248.32,2110,52426
instances/scqbf/n400p2.txt,6248.32,2111,20026
instances/scqbf/n400p2.txt,6248.32,2112,21366
instances/scqbf/n400p2.txt,6248.32,2113,24017
instances/scqbf/n400p2.txt,6248.32,2114,26027
instances/scqbf/n400p2.txt,6248.32,2115,15389
instances/scqbf/n400p2.txt,6248.32,2116,6484
instances/scqbf/n400p2.txt,6248.32,2117,8102
instances/scqbf/n400p2.txt,6248.32,2118,8776
instances/scqbf/n400p2.txt,6248.32,2119,11062
instances/scqbf/n400p2.txt,6248.32,2120,37200
instances/scqbf/n400p2.txt,6248.32,2121,31963
instances/scqbf/n400p2.txt,6248.32,2122,13877
instances/scqbf/n400p2.txt,6248.32,2123,26831
instances/scqbf/n400p2.txt,6248.32,2124,6624
instances/scqbf/n400p2.txt,10486.78,2025,111293
instances/scqbf/n400p2.txt,10486.78,2026,86233
instances/scqbf/n400p2.txt,10486.78,2027,93787
instances/scqbf/n400p2.txt,10486.78,2028,171664
instances/scqbf/n400p2.txt,10486.78,2029,43993
instances/scqbf/n400p2.txt,10486.78,2030,97151
instances/scqbf/n400p2.txt,10486.78,2031,111357
instances/scqbf/n400p2.txt,10486.78,2032,37085
instances/scqbf/n400p2.txt,10486.78,2033,88862
instances/scqbf/n400p2.txt,10486.78,2034,136185
instances/scqbf/n400p2.txt,10486.78,2035,115610
instances/scqbf/n400p2.txt,10486.78,2036,147674
instances/scqbf/n400p2.txt,10486.78,2037,53806
instances/scqbf/n400p2.txt,10486.78,2038,70685
instances/scqbf/n400p2.txt,10486.78,2039,82250
instances/scqbf/n400p2.txt,10486.78,2040,146548
instances/scqbf/n400p2.txt,10486.78,2041,53266
instances/scqbf/n400p2.txt,10486.78,2042,47386
instances/scqbf/n400p2.txt,10486.78,2043,87929
instances/scqbf/n400p2.txt,10486.78,2044,32072
instances/scqbf/n400p2.txt,10486.78,2045,94633
instances/scqbf/n400p2.txt,10486.78,2046,44540
instances/scqbf/n400p2.txt,10486.78,2047,83258
instances/scqbf/n400p2.txt,10486.78,2048,106031
instances/scqbf/n400p2.txt,10486.78,2049,118152
instances/scqbf/n400p2.txt,10486.78,2050,101886
instances/scqbf/n400p2.txt,10486.78,2051,90909
instances/scqbf/n400p2.txt,10486.78,2052,93117
instances/scqbf/n400p2.txt,10486.78,2053,88771
instances/scqbf/n400p2.txt,10486.78,2054,144380
instances/scqbf/n400p2.txt,10486.78,2055,55937
instances/scqbf/n400p2.txt,10486.78,2056,107231
instances/scqbf/n400p2.txt,10486.78,2057,48483
instances/scqbf/n400p2.txt,10486.78,2058,92497
instances/scqbf/n400p2.txt,10486.78,2059,88374
instances/scqbf/n400p2.txt,10486.78,2060,44340
instances/scqbf/n400p2.txt,10486.78,2061,114600
instances/scqbf/n400p2.txt,10486.78,2062,129451
instances/scqbf/n400p2.txt,10486.78,2063,85859
instances/scqbf/n400p2.txt,10486.78,2064,87485
instances/scqbf/n400p2.txt,10486.78,2065,43783
instances/scqbf/n400p2.txt,10486.78,2066,75661
instances/scqbf/n400p2.txt,10486.78,2067,161356
instances/scqbf/n400p2.txt,10486.78,2068,92978
instances/scqbf/n400p2.txt,10486.78,2069,86418
instances/scqbf/n400p2.txt,10486.78,2070,145946
instances/scqbf/n400p2.txt,10486.78,2071,39978
instances/scqbf/n400p2.txt,10486.78,2072,135808
instances/scqbf/n400p2.txt,10486.78,2073,132039
instances/scqbf/n400p2.txt,10486.78,2074,197385
instances/scqbf/n400p2.txt,10486.78,2075,107857
instances/scqbf/n400p2.txt,10486.78,2076,122626
instances/scqbf/n400p2.txt,10486.78,2077,53672
instances/scqbf/n400p2.txt,10486.78,2078,143102
instances/scqbf/n400p2.txt,10486.78,2079,91973
instances/scqbf/n400p2.txt,10486.78,2080,90543
instances/scqbf/n400p2.txt,10486.78,2081,91489
instances/scqbf/n400p2.txt,10486.78,2082,114608
instances/scqbf/n400p2.txt,10486.78,2083,91045
instances/scqbf/n400p2.txt,10486.78,2084,68390
instances/scqbf/n400p2.txt,10486.78,2085,85872
instances/scqbf/n400p2.txt,10486.78,2086,141431
instances/scqbf/n400p2.txt,10486.78,2087,35891
instances/scqbf/n400p2.txt,10486.78,2088,44889
instances/scqbf/n400p2.txt,10486.78,2089,54835
instances/scqbf/n400p2.txt,10486.78,2090,53699
instances/scqbf/n400p2.txt,10486.78,2091,79856
