instancia,target,seed,tempo_para_target_ms
instances/scqbf/n400p2.txt,6248.32,2042,7765
instances/scqbf/n400p2.txt,6248.32,2043,13471
instances/scqbf/n400p2.txt,6248.32,2044,8098
instances/scqbf/n400p2.txt,6248.32,2045,8513
instances/scqbf/n400p2.txt,6248.32,2046,7363
instances/scqbf/n400p2.txt,6248.32,2047,8122
instances/scqbf/n400p2.txt,6248.32,2048,8769
instances/scqbf/n400p2.txt,6248.32,2049,8675
instances/scqbf/n400p2.txt,6248.32,2050,7768
instances/scqbf/n400p2.txt,6248.32,2051,8907
instances/scqbf/n400p2.txt,6248.32,2052,9093
instances/scqbf/n400p2.txt,6248.32,2053,10265
instances/scqbf/n400p2.txt,6248.32,2054,9475
instances/scqbf/n400p2.txt,6248.32,2055,8174
instances/scqbf/n400p2.txt,6248.32,2056,8287
instances/scqbf/n400p2.txt,6248.32,2057,8351
instances/scqbf/n400p2.txt,6248.32,2058,12500
instances/scqbf/n400p2.txt,6248.32,2059,11270
instances/scqbf/n400p2.txt,6248.32,2060,14815
instances/scqbf/n400p2.txt,6248.32,2061,7911
instances/scqbf/n400p2.txt,6248.32,2062,10933
instances/scqbf/n400p2.txt,6248.32,2063,8103
instances/scqbf/n400p2.txt,6248.32,2064,7703
instances/scqbf/n400p2.txt,6248.32,2065,9724
instances/scqbf/n400p2.txt,6248.32,2066,8454
instances/scqbf/n400p2.txt,6248.32,2067,11717
instances/scqbf/n400p2.txt,6248.32,2068,7086
instances/scqbf/n400p2.txt,6248.32,2069,8249
instances/scqbf/n400p2.txt,6248.32,2070,7814
instances/scqbf/n400p2.txt,6248.32,2071,8250
instances/scqbf/n400p2.txt,6248.32,2072,7885
instances/scqbf/n400p2.txt,6248.32,2073,9178
instances/scqbf/n400p2.txt,6248.32,2074,8148
instances/scqbf/n400p2.txt,6248.32,2075,7607
instances/scqbf/n400p2.txt,6248.32,2076,7932
instances/scqbf/n400p2.txt,6248.32,2077,10907
instances/scqbf/n400p2.txt,6248.32,2078,8335
instances/scqbf/n400p2.txt,6248.32,2079,7705
instances/scqbf/n400p2.txt,6248.32,2080,8725
instances/scqbf/n400p2.txt,6248.32,2081,7791
instances/scqbf/n400p2.txt,6248.32,2082,8912
instances/scqbf/n400p2.txt,6248.32,2083,8334
instances/scqbf/n400p2.txt,6248.32,2084,7733
instances/scqbf/n400p2.txt,6248.32,2085,7625
instances/scqbf/n400p2.txt,6248.32,2086,7372
instances/scqbf/n400p2.txt,6248.32,2087,10513
instances/scqbf/n400p2.txt,6248.32,2088,8554
instances/scqbf/n400p2.txt,6248.32,2089,8624
instances/scqbf/n400p2.txt,6248.32,2090,11539
instances/scqbf/n400p2.txt,6248.32,2091,7305
instances/scqbf/n400p2.txt,6248.32,2092,7859
instances/scqbf/n400p2.txt,6248.32,2093,8232
instances/scqbf/n400p2.txt,6248.32,2094,8007
instances/scqbf/n400p2.txt,6248.32,2095,8710
instances/scqbf/n400p2.txt,6248.32,2096,7694
instances/scqbf/n400p2.txt,6248.32,2097,8457
instances/scqbf/n400p2.txt,6248.32,2098,11595
instances/scqbf/n400p2.txt,6248.32,2099,7593
instances/scqbf/n400p2.txt,6248.32,2100,12849
instances/scqbf/n400p2.txt,6248.32,2101,7944
instances/scqbf/n400p2.txt,6248.32,2102,8311
instances/scqbf/n400p2.txt,6248.32,2103,8056
instances/scqbf/n400p2.txt,6248.32,2104,10756
instances/scqbf/n400p2.txt,6248.32,2105,7342
instances/scqbf/n400p2.txt,6248.32,2106,8593
instances/scqbf/n400p2.txt,6248.32,2107,7392
instances/scqbf/n400p2.txt,6248.32,2108,11263
instances/scqbf/n400p2.txt,6248.32,2109,14010
instances/scqbf/n400p2.txt,6248.32,2110,11509
instances/scqbf/n400p2.txt,6248.32,2111,7193
instances/scqbf/n400p2.txt,6248.32,2112,7777
instances/scqbf/n400p2.txt,6248.32,2113,7711
instances/scqbf/n400p2.txt,6248.32,2114,7649
instances/scqbf/n400p2.txt,6248.32,2115,7508
instances/scqbf/n400p2.txt,6248.32,2116,8282
instances/scqbf/n400p2.txt,6248.32,2117,12117
instances/scqbf/n400p2.txt,6248.32,2118,8089
instances/scqbf/n400p2.txt,6248.32,2119,7811
instances/scqbf/n400p2.txt,6248.32,2120,10803
instances/scqbf/n400p2.txt,6248.32,2121,7208
instances/scqbf/n400p2.txt,6248.32,2122,7174
instances/scqbf/n400p2.txt,6248.32,2123,8236
instances/scqbf/n400p2.txt,6248.32,2124,10856
instances/scqbf/n400p2.txt,10486.78,2025,9273
instances/scqbf/n400p2.txt,10486.78,2026,8014
instances/scqbf/n400p2.txt,10486.78,2027,15502
instances/scqbf/n400p2.txt,10486.78,2028,7544
instances/scqbf/n400p2.txt,10486.78,2029,8690
instances/scqbf/n400p2.txt,10486.78,2030,16508
instances/scqbf/n400p2.txt,10486.78,2031,8318
instances/scqbf/n400p2.txt,10486.78,2032,8083
instances/scqbf/n400p2.txt,10486.78,2033,7331
instances/scqbf/n400p2.txt,10486.78,2034,8786
instances/scqbf/n400p2.txt,10486.78,2035,7281
instances/scqbf/n400p2.txt,10486.78,2036,7540
instances/scqbf/n400p2.txt,10486.78,2037,7482
instances/scqbf/n400p2.txt,10486.78,2038,8868
instances/scqbf/n400p2.txt,10486.78,2039,8654
instances/scqbf/n400p2.txt,10486.78,2040,12368
instances/scqbf/n400p2.txt,10486.78,2041,10349
instances/scqbf/n400p2.txt,10486.78,2042,7882
instances/scqbf/n400p2.txt,10486.78,2043,13198
instances/scqbf/n400p2.txt,10486.78,2044,8104
instances/scqbf/n400p2.txt,10486.78,2045,8280
instances/scqbf/n400p2.txt,10486.78,2046,7430
instances/scqbf/n400p2.txt,10486.78,2047,8093
instances/scqbf/n400p2.txt,10486.78,2048,9042
instances/scqbf/n400p2.txt,10486.78,2049,8488
instances/scqbf/n400p2.txt,10486.78,2050,7753
instances/scqbf/n400p2.txt,10486.78,2051,8657
instances/scqbf/n400p2.txt,10486.78,2052,7100
instances/scqbf/n400p2.txt,10486.78,2053,8197
instances/scqbf/n400p2.txt,10486.78,2054,8378
instances/scqbf/n400p2.txt,10486.78,2055,8050
instances/scqbf/n400p2.txt,10486.78,2056,7801
instances/scqbf/n400p2.txt,10486.78,2057,8192
instances/scqbf/n400p2.txt,10486.78,2058,11456
instances/scqbf/n400p2.txt,10486.78,2059,10844
instances/scqbf/n400p2.txt,10486.78,2060,14995
instances/scqbf/n400p2.txt,10486.78,2061,8177
instances/scqbf/n400p2.txt,10486.78,2062,10967
instances/scqbf/n400p2.txt,10486.78,2063,8148
instances/scqbf/n400p2.txt,10486.78,2064,7714
instances/scqbf/n400p2.txt,10486.78,2065,9997
instances/scqbf/n400p2.txt,10486.78,2066,7819
instances/scqbf/n400p2.txt,10486.78,2067,12071
instances/scqbf/n400p2.txt,10486.78,2068,7258
instances/scqbf/n400p2.txt,10486.78,2069,8220
instances/scqbf/n400p2.txt,10486.78,2070,7859
instances/scqbf/n400p2.txt,10486.78,2071,8345
instances/scqbf/n400p2.txt,10486.78,2072,8015
instances/scqbf/n400p2.txt,10486.78,2073,8708
instances/scqbf/n400p2.txt,10486.78,2074,8075
instances/scqbf/n400p2.txt,10486.78,2075,7849
instances/scqbf/n400p2.txt,10486.78,2076,8178
instances/scqbf/n400p2.txt,10486.78,2077,11002
instances/scqbf/n400p2.txt,10486.78,2078,8393
instances/scqbf/n400p2.txt,10486.78,2079,7885
instances/scqbf/n400p2.txt,10486.78,2080,8552
instances/scqbf/n400p2.txt,10486.78,2081,7502
instances/scqbf/n400p2.txt,10486.78,2082,9028
instances/scqbf/n400p2.txt,10486.78,2083,8913
instances/scqbf/n400p2.txt,10486.78,2084,7825
instances/scqbf/n400p2.txt,10486.78,2085,7706
instances/scqbf/n400p2.txt,10486.78,2086,7361
instances/scqbf/n400p2.txt,10486.78,2087,10878
instances/scqbf/n400p2.txt,10486.78,2088,8178
instances/scqbf/n400p2.txt,10486.78,2089,8611
instances/scqbf/n400p2.txt,10486.78,2090,11635
instances/scqbf/n400p2.txt,10486.78,2091,7441
instances/scqbf/n400p2.txt,10486.78,2092,7948
instances/scqbf/n400p2.txt,10486.78,2093,8449
instances/scqbf/n400p2.txt,10486.78,2094,8069
instances/scqbf/n400p2.txt,10486.78,2095,8395
instances/scqbf/n400p2.txt,10486.78,2096,7710
instances/scqbf/n400p2.txt,10486.78,2097,8366
instances/scqbf/n400p2.txt,10486.78,2098,11890
instances/scqbf/n400p2.txt,10486.78,2099,7628
instances/scqbf/n400p2.txt,10486.78,2100,12969
instances/scqbf/n400p2.txt,10486.78,2101,8053
instances/scqbf/n400p2.txt,10486.78,2102,8065
instances/scqbf/n400p2.txt,10486.78,2103,8086
instances/scqbf/n400p2.txt,10486.78,2104,10929
instances/scqbf/n400p2.txt,10486.78,2105,7585
instances/scqbf/n400p2.txt,10486.78,2106,8458
instances/scqbf/n400p2.txt,10486.78,2107,7609
instances/scqbf/n400p2.txt,10486.78,2108,11377
instances/scqbf/n400p2.txt,10486.78,2109,13508
instances/scqbf/n400p2.txt,10486.78,2110,11700
instances/scqbf/n400p2.txt,10486.78,2111,7412
instances/scqbf/n400p2.txt,10486.78,2112,7855
instances/scqbf/n400p2.txt,10486.78,2113,7916
instances/scqbf/n400p2.txt,10486.78,2114,7743
instances/scqbf/n400p2.txt,10486.78,2115,7645
instances/scqbf/n400p2.txt,10486.78,2116,7785
instances/scqbf/n400p2.txt,10486.78,2117,12477
instances/scqbf/n400p2.txt,10486.78,2118,8574
instances/scqbf/n400p2.txt,10486.78,2119,7861
instances/scqbf/n400p2.txt,10486.78,2120,11627
instances/scqbf/n400p2.txt,10486.78,2121,7335
instances/scqbf/n400p2.txt,10486.78,2122,7285
instances/scqbf/n400p2.txt,10486.78,2123,7680
instances/scqbf/n400p2.txt,10486.78,2124,11060
