tau,rho,metodo
1.0,0.6,GA
1.0026298370084972,1.0,GA
1.0052596740169946,1.0,GA
1.0078895110254917,1.0,GA
1.010519348033989,1.0,GA
1.013149185042486,1.0,GA
1.0157790220509835,1.0,GA
1.0184088590594806,1.0,GA
1.0210386960679778,1.0,GA
1.023668533076475,1.0,GA
1.0262983700849724,1.0,GA
1.0289282070934695,1.0,GA
1.0315580441019667,1.0,GA
1.034187881110464,1.0,GA
1.0368177181189613,1.0,GA
1.0394475551274585,1.0,GA
1.0420773921359556,1.0,GA
1.0447072291444528,1.0,GA
1.0473370661529502,1.0,GA
1.0499669031614474,1.0,GA
1.0525967401699445,1.0,GA
1.0552265771784417,1.0,GA
1.057856414186939,1.0,GA
1.0604862511954363,1.0,GA
1.0631160882039334,1.0,GA
1.0657459252124306,1.0,GA
1.068375762220928,1.0,GA
1.0710055992294252,1.0,GA
1.0736354362379223,1.0,GA
1.0762652732464195,1.0,GA
1.078895110254917,1.0,GA
1.081524947263414,1.0,GA
1.0841547842719113,1.0,GA
1.0867846212804084,1.0,GA
1.0894144582889058,1.0,GA
1.092044295297403,1.0,GA
1.0946741323059002,1.0,GA
1.0973039693143973,1.0,GA
1.0999338063228947,1.0,GA
1.102563643331392,1.0,GA
1.105193480339889,1.0,GA
1.1078233173483862,1.0,GA
1.1104531543568836,1.0,GA
1.1130829913653808,1.0,GA
1.115712828373878,1.0,GA
1.1183426653823751,1.0,GA
1.1209725023908725,1.0,GA
1.1236023393993697,1.0,GA
1.1262321764078669,1.0,GA
1.128862013416364,1.0,GA
1.1314918504248614,1.0,GA
1.1341216874333586,1.0,GA
1.1367515244418558,1.0,GA
1.139381361450353,1.0,GA
1.1420111984588504,1.0,GA
1.1446410354673475,1.0,GA
1.1472708724758447,1.0,GA
1.1499007094843419,1.0,GA
1.1525305464928393,1.0,GA
1.1551603835013364,1.0,GA
1.1577902205098336,1.0,GA
1.1604200575183308,1.0,GA
1.1630498945268282,1.0,GA
1.1656797315353253,1.0,GA
1.1683095685438225,1.0,GA
1.1709394055523197,1.0,GA
1.173569242560817,1.0,GA
1.1761990795693142,1.0,GA
1.1788289165778114,1.0,GA
1.1814587535863086,1.0,GA
1.184088590594806,1.0,GA
1.1867184276033031,1.0,GA
1.1893482646118003,1.0,GA
1.1919781016202975,1.0,GA
1.1946079386287949,1.0,GA
1.197237775637292,1.0,GA
1.1998676126457892,1.0,GA
1.2024974496542864,1.0,GA
1.2051272866627838,1.0,GA
1.207757123671281,1.0,GA
1.2103869606797781,1.0,GA
1.2130167976882753,1.0,GA
1.2156466346967727,1.0,GA
1.2182764717052699,1.0,GA
1.220906308713767,1.0,GA
1.2235361457222642,1.0,GA
1.2261659827307616,1.0,GA
1.2287958197392588,1.0,GA
