tau,rho,metodo
1.0,0.6,GA
1.000502512562814,0.8,GA
1.0010050251256282,0.8,GA
1.0015075376884421,0.8,GA
1.0020100502512563,1.0,GA
1.0025125628140703,1.0,GA
1.0030150753768845,1.0,GA
1.0035175879396985,1.0,GA
1.0040201005025127,1.0,GA
1.0045226130653266,1.0,GA
1.0050251256281406,1.0,GA
1.0055276381909548,1.0,GA
1.0060301507537688,1.0,GA
1.006532663316583,1.0,GA
1.007035175879397,1.0,GA
1.0075376884422111,1.0,GA
1.0080402010050251,1.0,GA
1.0085427135678393,1.0,GA
1.0090452261306533,1.0,GA
1.0095477386934673,1.0,GA
1.0100502512562815,1.0,GA
1.0105527638190954,1.0,GA
1.0110552763819096,1.0,GA
1.0115577889447236,1.0,GA
1.0120603015075378,1.0,GA
1.0125628140703518,1.0,GA
1.013065326633166,1.0,GA
1.01356783919598,1.0,GA
1.014070351758794,1.0,GA
1.014572864321608,1.0,GA
1.015075376884422,1.0,GA
1.0155778894472363,1.0,GA
1.0160804020100502,1.0,GA
1.0165829145728644,1.0,GA
1.0170854271356784,1.0,GA
1.0175879396984924,1.0,GA
1.0180904522613066,1.0,GA
1.0185929648241205,1.0,GA
1.0190954773869347,1.0,GA
1.0195979899497487,1.0,GA
1.020100502512563,1.0,GA
1.0206030150753769,1.0,GA
1.021105527638191,1.0,GA
1.021608040201005,1.0,GA
1.022110552763819,1.0,GA
1.0226130653266332,1.0,GA
1.0231155778894472,1.0,GA
1.0236180904522614,1.0,GA
1.0241206030150753,1.0,GA
1.0246231155778895,1.0,GA
1.0251256281407035,1.0,GA
1.0256281407035177,1.0,GA
1.0261306532663317,1.0,GA
1.0266331658291457,1.0,GA
1.0271356783919598,1.0,GA
1.0276381909547738,1.0,GA
1.028140703517588,1.0,GA
1.028643216080402,1.0,GA
1.0291457286432162,1.0,GA
1.0296482412060302,1.0,GA
1.0301507537688444,1.0,GA
1.0306532663316583,1.0,GA
1.0311557788944723,1.0,GA
1.0316582914572865,1.0,GA
1.0321608040201005,1.0,GA
1.0326633165829147,1.0,GA
1.0331658291457286,1.0,GA
1.0336683417085428,1.0,GA
1.0341708542713568,1.0,GA
1.034673366834171,1.0,GA
1.035175879396985,1.0,GA
1.035678391959799,1.0,GA
1.0361809045226131,1.0,GA
1.036683417085427,1.0,GA
1.0371859296482413,1.0,GA
1.0376884422110553,1.0,GA
1.0381909547738695,1.0,GA
1.0386934673366834,1.0,GA
1.0391959798994974,1.0,GA
1.0396984924623116,1.0,GA
1.0402010050251256,1.0,GA
1.0407035175879398,1.0,GA
1.0412060301507537,1.0,GA
1.041708542713568,1.0,GA
1.042211055276382,1.0,GA
1.042713567839196,1.0,GA
1.04321608040201,1.0,GA
1.043718592964824,1.0,GA
1.0442211055276382,1.0,GA
1.0447236180904522,1.0,GA
1.0452261306532664,1.0,GA
1.0457286432160804,1.0,GA
1.0462311557788946,1.0,GA
1.0467336683417086,1.0,GA
1.0472361809045228,1.0,GA
1.0477386934673367,1.0,GA
1.0482412060301507,1.0,GA
1.048743718592965,1.0,GA
1.0492462311557789,1.0,GA
1.049748743718593,1.0,GA
1.050251256281407,1.0,GA
1.0507537688442212,1.0,GA
1.0512562814070352,1.0,GA
1.0517587939698494,1.0,GA
1.0522613065326634,1.0,GA
1.0527638190954773,1.0,GA
1.0532663316582915,1.0,GA
1.0537688442211055,1.0,GA
1.0542713567839197,1.0,GA
1.0547738693467337,1.0,GA
1.0552763819095479,1.0,GA
1.0557788944723618,1.0,GA
1.056281407035176,1.0,GA
1.05678391959799,1.0,GA
1.057286432160804,1.0,GA
1.0577889447236182,1.0,GA
1.0582914572864321,1.0,GA
1.0587939698492463,1.0,GA
1.0592964824120603,1.0,GA
1.0597989949748745,1.0,GA
1.0603015075376885,1.0,GA
1.0608040201005027,1.0,GA
1.0613065326633166,1.0,GA
1.0618090452261306,1.0,GA
1.0623115577889448,1.0,GA
1.0628140703517588,1.0,GA
1.063316582914573,1.0,GA
1.063819095477387,1.0,GA
1.0643216080402012,1.0,GA
1.0648241206030151,1.0,GA
1.0653266331658293,1.0,GA
1.0658291457286433,1.0,GA
1.0663316582914573,1.0,GA
1.0668341708542715,1.0,GA
1.0673366834170854,1.0,GA
1.0678391959798996,1.0,GA
1.0683417085427136,1.0,GA
1.0688442211055278,1.0,GA
1.0693467336683418,1.0,GA
1.069849246231156,1.0,GA
1.07035175879397,1.0,GA
1.070854271356784,1.0,GA
1.071356783919598,1.0,GA
1.071859296482412,1.0,GA
1.0723618090452263,1.0,GA
1.0728643216080402,1.0,GA
1.0733668341708544,1.0,GA
1.0738693467336684,1.0,GA
1.0743718592964826,1.0,GA
1.0748743718592966,1.0,GA
1.0753768844221105,1.0,GA
1.0758793969849247,1.0,GA
1.0763819095477387,1.0,GA
1.076884422110553,1.0,GA
1.0773869346733669,1.0,GA
1.077889447236181,1.0,GA
1.078391959798995,1.0,GA
1.078894472361809,1.0,GA
1.0793969849246232,1.0,GA
1.0798994974874372,1.0,GA
1.0804020100502514,1.0,GA
1.0809045226130654,1.0,GA
1.0814070351758795,1.0,GA
1.0819095477386935,1.0,GA
1.0824120603015077,1.0,GA
1.0829145728643217,1.0,GA
1.0834170854271357,1.0,GA
1.0839195979899499,1.0,GA
1.0844221105527638,1.0,GA
1.084924623115578,1.0,GA
1.085427135678392,1.0,GA
1.0859296482412062,1.0,GA
1.0864321608040202,1.0,GA
1.0869346733668344,1.0,GA
1.0874371859296483,1.0,GA
1.0879396984924623,1.0,GA
1.0884422110552765,1.0,GA
1.0889447236180905,1.0,GA
1.0894472361809047,1.0,GA
1.0899497487437186,1.0,GA
1.0904522613065328,1.0,GA
1.0909547738693468,1.0,GA
1.0914572864321608,1.0,GA
1.091959798994975,1.0,GA
1.092462311557789,1.0,GA
1.0929648241206031,1.0,GA
1.0934673366834171,1.0,GA
1.0939698492462313,1.0,GA
1.0944723618090453,1.0,GA
1.0949748743718595,1.0,GA
1.0954773869346734,1.0,GA
1.0959798994974874,1.0,GA
1.0964824120603016,1.0,GA
1.0969849246231156,1.0,GA
1.0974874371859298,1.0,GA
1.0979899497487438,1.0,GA
1.098492462311558,1.0,GA
1.098994974874372,1.0,GA
1.0994974874371861,1.0,GA
1.1,1.0,GA
1.0,1.0,GRASP
1.000502512562814,1.0,GRASP
1.0010050251256282,1.0,GRASP
1.0015075376884421,1.0,GRASP
1.0020100502512563,1.0,GRASP
1.0025125628140703,1.0,GRASP
1.0030150753768845,1.0,GRASP
1.0035175879396985,1.0,GRASP
1.0040201005025127,1.0,GRASP
1.0045226130653266,1.0,GRASP
1.0050251256281406,1.0,GRASP
1.0055276381909548,1.0,GRASP
1.0060301507537688,1.0,GRASP
1.006532663316583,1.0,GRASP
1.007035175879397,1.0,GRASP
1.0075376884422111,1.0,GRASP
1.0080402010050251,1.0,GRASP
1.0085427135678393,1.0,GRASP
1.0090452261306533,1.0,GRASP
1.0095477386934673,1.0,GRASP
1.0100502512562815,1.0,GRASP
1.0105527638190954,1.0,GRASP
1.0110552763819096,1.0,GRASP
1.0115577889447236,1.0,GRASP
1.0120603015075378,1.0,GRASP
1.0125628140703518,1.0,GRASP
1.013065326633166,1.0,GRASP
1.01356783919598,1.0,GRASP
1.014070351758794,1.0,GRASP
1.014572864321608,1.0,GRASP
1.015075376884422,1.0,GRASP
1.0155778894472363,1.0,GRASP
1.0160804020100502,1.0,GRASP
1.0165829145728644,1.0,GRASP
1.0170854271356784,1.0,GRASP
1.0175879396984924,1.0,GRASP
1.0180904522613066,1.0,GRASP
1.0185929648241205,1.0,GRASP
1.0190954773869347,1.0,GRASP
1.0195979899497487,1.0,GRASP
1.020100502512563,1.0,GRASP
1.0206030150753769,1.0,GRASP
1.021105527638191,1.0,GRASP
1.021608040201005,1.0,GRASP
1.022110552763819,1.0,GRASP
1.0226130653266332,1.0,GRASP
1.0231155778894472,1.0,GRASP
1.0236180904522614,1.0,GRASP
1.0241206030150753,1.0,GRASP
1.0246231155778895,1.0,GRASP
1.0251256281407035,1.0,GRASP
1.0256281407035177,1.0,GRASP
1.0261306532663317,1.0,GRASP
1.0266331658291457,1.0,GRASP
1.0271356783919598,1.0,GRASP
1.0276381909547738,1.0,GRASP
1.028140703517588,1.0,GRASP
1.028643216080402,1.0,GRASP
1.0291457286432162,1.0,GRASP
1.0296482412060302,1.0,GRASP
1.0301507537688444,1.0,GRASP
1.0306532663316583,1.0,GRASP
1.0311557788944723,1.0,GRASP
1.0316582914572865,1.0,GRASP
1.0321608040201005,1.0,GRASP
1.0326633165829147,1.0,GRASP
1.0331658291457286,1.0,GRASP
1.0336683417085428,1.0,GRASP
1.0341708542713568,1.0,GRASP
1.034673366834171,1.0,GRASP
1.035175879396985,1.0,GRASP
1.035678391959799,1.0,GRASP
1.0361809045226131,1.0,GRASP
1.036683417085427,1.0,GRASP
1.0371859296482413,1.0,GRASP
1.0376884422110553,1.0,GRASP
1.0381909547738695,1.0,GRASP
1.0386934673366834,1.0,GRASP
1.0391959798994974,1.0,GRASP
1.0396984924623116,1.0,GRASP
