metodo,rho@1.00,rho@1.01,rho@1.05,rho@1.10,rho@1.20
GA,0.4666666666666667,0.8,0.8,0.8,0.8
GRASP,1.0,1.0,1.0,1.0,1.0
PLI,0.4666666666666667,0.6666666666666666,0.7333333333333333,0.8,0.8666666666666667
TABU,0.4,0.7333333333333333,0.8,0.8666666666666667,0.9333333333333333
